01,37847348424,1695516744,1695517120
02,93665820300,1702865492,1702865922
02,22969392259,1703107152,1703108916
01,89381904267,1681592393,1681593012
01,89846216275,1694958181,1694959255
01,49556740639,1689813007,1689813871
02,77448661144,1684154890,1684155292
02,77448661144,1691964504,1691965277
02,85025949705,1708287759,1708287951
02,82680061977,1710980738,1710981249
02,93665820300,1689630929,1689632241
02,22969392259,1686470617,1686472276
01,78632249877,1698786558,1698787115
02,22969392259,1684824794,1684825035
02,22969392259,1684632398,1684633098
02,78632249877,1700335468,1700336067
01,93665820300,1681925961,1681926444
02,37847348424,1696498215,1696499408
